round,stage,heterogeneity,norm_mean,norm_median,mean_vector_norm,norm_client_0,norm_client_1,norm_client_2,norm_client_3,norm_client_4,norm_client_5,norm_client_6,norm_client_7,norm_client_8,norm_client_9,cosine_mean,cosine_median,cosine_valid_pairs
75,clipped_gradient,45.74491882324219,6.578216075897217,5.985634803771973,1.8114207983016968,4.416469097137451,3.6115472316741943,5.751687526702881,6.219581604003906,4.432104110717773,6.8387908935546875,9.675369262695312,5.436448574066162,11.723015785217285,7.677145957946777,-0.04709037393331528,-0.028165867552161217,45
75,client_update,30.288564682006836,5.3440680503845215,4.742751121520996,1.6424390077590942,2.816236972808838,2.9132702350616455,4.3492302894592285,5.136272430419922,4.287064075469971,5.776151657104492,8.266168594360352,3.966733455657959,9.61758804321289,6.311964511871338,-0.03665471076965332,-0.057165902107954025,45
80,raw_gradient,204.849365234375,13.216751098632812,12.09979248046875,4.9130353927612305,5.236046314239502,2.7555904388427734,7.771925449371338,11.836204528808594,19.407690048217773,12.374265670776367,22.654212951660156,12.363380432128906,27.407575607299805,10.36061954498291,0.050021786242723465,0.07495850324630737,45
80,clipped_gradient,48.758140563964844,6.866809368133545,6.094943046569824,2.3653268814086914,4.415938377380371,2.7555904388427734,5.826711177825928,6.298261642456055,5.8916239738464355,7.087771415710449,10.185791015625,5.508780002593994,12.536977767944336,8.160642623901367,0.050021786242723465,0.07495850324630737,45
80,client_update,32.56538391113281,5.379418849945068,4.754748821258545,1.6086674928665161,2.401803970336914,2.209813356399536,4.045523643493652,4.7896952629089355,4.719802379608154,5.927945613861084,8.649157524108887,3.90932559967041,10.462076187133789,6.679049968719482,-0.04616186395287514,-0.04076629877090454,45
85,raw_gradient,164.6096649169922,11.09842586517334,8.45474624633789,5.864810466766357,10.832322120666504,6.1712141036987305,6.253502368927002,2.5765280723571777,7.851935386657715,7.721991539001465,13.896642684936523,9.05755615234375,35.67290115356445,10.949654579162598,0.06395222246646881,0.027933383360505104,45
85,clipped_gradient,50.05672836303711,6.939779758453369,6.156909942626953,2.8401095867156982,4.44317102432251,4.155207633972168,5.999550819396973,2.5765280723571777,6.314269065856934,7.2895917892456055,10.938091278076172,5.701643466949463,13.717094421386719,8.262655258178711,0.06395222246646881,0.027933387085795403,45
85,client_update,35.46492385864258,5.63707160949707,4.766382217407227,1.9100959300994873,2.4313201904296875,2.594938039779663,4.1463422775268555,4.4916510581970215,5.041113376617432,5.9474287033081055,9.192765235900879,4.193600177764893,11.426407814025879,6.905148029327393,-0.022300325334072113,0.006906774360686541,45
90,raw_gradient,163.79624938964844,11.706917762756348,11.890884399414062,3.9195899963378906,6.406291484832764,2.5462520122528076,1.8870477676391602,11.739615440368652,13.839789390563965,13.927531242370605,19.30351448059082,12.042154312133789,23.761810302734375,11.615167617797852,-0.04960347339510918,-0.02672107145190239,45
90,clipped_gradient,55.793392181396484,6.922598361968994,6.480562210083008,2.2031450271606445,4.6067633628845215,2.5462520122528076,1.8870477676391602,6.565673828125,6.395450592041016,7.428592205047607,11.048757553100586,5.798980236053467,14.389081954956055,8.559378623962402,-0.049603480845689774,-0.026721078902482986,45
90,client_update,39.11819076538086,5.865584850311279,5.068206787109375,2.008453130722046,2.791322946548462,2.291747808456421,3.916740655899048,5.062986373901367,5.073426723480225,6.010806083679199,9.500476837158203,4.302553653717041,12.373103141784668,7.332686424255371,-0.024531621485948563,-0.03388471156358719,45
95,raw_gradient,256.0649108886719,14.071329116821289,10.202083587646484,7.5659403800964355,8.464576721191406,3.0898826122283936,11.337800025939941,7.30406379699707,7.290339946746826,9.066368103027344,29.106426239013672,12.389013290405273,39.507774353027344,13.157045364379883,0.10084894299507141,0.08818001300096512,45
95,clipped_gradient,55.709529876708984,7.6102495193481445,6.75919246673584,3.5733885765075684,4.676379203796387,3.0898826122283936,6.18810510635376,6.738595485687256,6.779789924621582,7.591660499572754,11.475725173950195,5.92348051071167,14.973174095153809,8.665700912475586,0.10084894299507141,0.08818002045154572,45
95,client_update,41.6099967956543,6.045331001281738,5.358089923858643,2.205270767211914,3.2523744106292725,1.866524338722229,4.246661186218262,5.3794732093811035,5.336706638336182,6.014794826507568,9.979092597961426,4.285396575927734,13.147945404052734,6.944342136383057,-0.010303177870810032,0.02775462530553341,45
