round,client_id,input_norm,output_norm,threshold,scale,clipped
35,7,9.214048385620117,3.7241227626800537,3.7241230635674807,0.40417877211195213,1
35,8,13.428784370422363,5.478048324584961,5.478047831712168,0.4079333001020304,1
35,9,6.809838771820068,4.389993667602539,4.389994077490889,0.6446545674133815,1
40,0,8.531615257263184,3.7180070877075195,3.7180067956797194,0.43579169660074446,1
40,1,8.624382972717285,3.382200241088867,3.3822002852989215,0.39216721379236674,1
40,2,9.965535163879395,4.404266834259033,4.404266870588454,0.44194985636321166,1
40,3,10.76016616821289,4.207045555114746,4.207045967733247,0.3909833258470465,1
40,4,9.060853004455566,3.9891357421875,3.9891355898964393,0.44026050750695217,1
40,5,10.321239471435547,4.281391620635986,4.281391823994729,0.414813708419896,1
40,6,11.235835075378418,5.7140021324157715,5.714001683530311,0.5085516202473563,1
40,7,10.870523452758789,4.056577205657959,4.056577563391933,0.3731722049344786,1
40,8,19.377168655395508,5.934845447540283,5.93484590717452,0.30628032160352514,1
40,9,12.635481834411621,4.693260192871094,4.693260002011255,0.3714349998184805,1
45,0,6.246274471282959,3.9036777019500732,3.9036776586237014,0.624960961913714,1
45,1,5.941832065582275,3.6007964611053467,3.600796405848156,0.6060077803212843,1
45,2,11.791229248046875,4.672322750091553,4.672323362426492,0.396254084438693,1
45,3,12.713781356811523,4.483419418334961,4.483419310056892,0.3526424823982779,1
45,4,9.15578842163086,4.286661624908447,4.286662084395786,0.4681914246490302,1
45,5,13.015386581420898,4.607819080352783,4.607819160375916,0.35402859926806296,1
45,6,14.373371124267578,6.219346523284912,6.219346204497871,0.4326992234121298,1
45,7,7.498847484588623,4.325161457061768,4.325161200636143,0.5767768268324823,1
45,8,15.526326179504395,6.589296340942383,6.589295834139155,0.4243950735519531,1
45,9,14.78453254699707,5.0941081047058105,5.09410832394473,0.34455658902387754,1
50,0,6.474481582641602,3.9911673069000244,3.9911673304312694,0.6164458506763749,1
50,1,4.479763507843018,3.728111743927002,3.728111451566989,0.8322117311326704,1
50,2,8.260058403015137,4.920411586761475,4.920411100497458,0.5956872635386448,1
50,3,13.078962326049805,4.8245673179626465,4.824567222873739,0.3688799766900005,1
50,4,6.2530198097229,4.462575435638428,4.462574927547618,0.7136672474153228,1
50,5,10.215222358703613,4.996086120605469,4.996085841178767,0.48908246391217164,1
50,6,17.418243408203125,6.719584941864014,6.719584413924523,0.3857785647144777,1
50,7,8.9036226272583,4.485978126525879,4.485978158155313,0.5038374057759509,1
50,8,21.659090042114258,7.2057905197143555,7.2057907336277065,0.3326912860006265,1
50,9,11.660091400146484,5.556423664093018,5.556423812432495,0.47653345702103267,1
55,0,3.843712091445923,3.843712091445923,4.124489340882339,1.0,0
55,1,3.6043622493743896,3.6043622493743896,3.802553746964861,1.0,0
55,2,8.028340339660645,5.117694854736328,5.117694898191592,0.637453650221392,1
